gp,nhs_url,postcode,state,url
Brookvale Practice,https://www.nhs.uk/services/gp-surgery/brookvale-practice/N81096,WA7 2UT,1,http://www.brookvalepractice.nhs.uk
Tower House Practice,https://www.nhs.uk/services/gp-surgery/tower-house-practice/N81057,WA7 1AB,1,http://towerhousepractice.co.uk
Homestead,https://www.nhs.uk/services/gp-surgery/homestead/B87022,WF2 9PE,0,
Lupset Health Centre,https://www.nhs.uk/services/gp-surgery/lupset-health-centre/B87008,WF2 8FE,1,http://www.lupsetsurgery.co.uk
Ossett Surgery,https://www.nhs.uk/services/gp-surgery/ossett-surgery/B87031,WF5 8DF,1,https://www.ossettsurgery.nhs.uk/
Orchard Croft,https://www.nhs.uk/services/gp-surgery/orchard-croft/B87002,WF4 5BY,0,
Murdishaw,https://www.nhs.uk/services/gp-surgery/murdishaw/N81072,WA7 6ES,1,https://www.murdishawhealthcentre.co.uk
Castlefields Health Centre,https://www.nhs.uk/services/gp-surgery/castlefields-health-centre/N81019,WA7 2ST,1,https://www.castlefieldshealthcentre.co.uk
Westminster Surgery,https://www.nhs.uk/services/gp-surgery/westminster-surgery/N81607,CH65 2ER,1,http://www.westminstersurgery.nhs.uk
York Road Group Practice,https://www.nhs.uk/services/gp-surgery/york-road-group-practice/N81063,CH65 0DB,1,http://www.yorkroadgrouppractice.co.uk/
Old Hall Surgery,https://www.nhs.uk/services/gp-surgery/old-hall-surgery/N81117,CH65 9AD,1,http://www.oldhallsurgery.co.uk
Balderton Surgery,https://www.nhs.uk/services/gp-surgery/balderton-surgery/Y05369,NG24 3HJ,1,https://midnottsgp.co.uk/
Fountain Medical Centre,https://www.nhs.uk/services/gp-surgery/fountain-medical-centre/C84019,NG24 1QH,1,http://www.fountainmedicalcentre.co.uk
Hook Surgery Reading Road,https://www.nhs.uk/services/gp-surgery/hook-surgery-reading-road/J82138001,RG27 9ED,1,http://www.whitewaterhealth.nhs.uk/
West Bank Medical Centre,https://www.nhs.uk/services/gp-surgery/west-bank-medical-centre/N81011003,WA8 0NG,1,http://www.beaconsfield-surgery.co.uk/
Lombard Medical Centre,https://www.nhs.uk/services/gp-surgery/lombard-medical-centre/C84029,NG24 4XG,1,http://www.lombardmedicalcentre.co.uk/
Barnby Gate Surgery,https://www.nhs.uk/services/gp-surgery/barnby-gate-surgery/C84009,NG24 1QD,1,http://www.barnbygatesurgery.co.uk
Farnham Park Health Group,https://www.nhs.uk/services/gp-surgery/farnham-park-health-group/H81027,GU9 9QS,1,http://www.farnhamgps.com
Richmond Surgery,https://www.nhs.uk/services/gp-surgery/richmond-surgery/J82099,GU52 7US,1,http://www.richmondsurgeryfleet.com
Bampton Surgery,https://www.nhs.uk/services/gp-surgery/bampton-surgery/K84010,OX18 2LJ,1,https://www.bamptonmedicalpractice.co.uk
Lechlade Medical Centre,https://www.nhs.uk/services/gp-surgery/lechlade-medical-centre/L84010001,GL7 3RY,0,
Penhill Surgery,https://www.nhs.uk/services/gp-surgery/penhill-surgery/J83035001,SN2 5HN,1,http://www.abbeymeadsdoctors.co.uk/
Mattishall Surgery,https://www.nhs.uk/services/gp-surgery/mattishall-surgery/D82039,NR20 3QA,0,
White Horse Medical Practice,https://www.nhs.uk/services/gp-surgery/white-horse-medical-practice/K84051,SN7 7YU,1,http://www.whmp.co.uk
Crossroads Surgery,https://www.nhs.uk/services/gp-surgery/crossroads-surgery/J83035002,SN2 7BG,1,http://www.abbeymeadsdoctors.co.uk/
Blunsdon Surgery,https://www.nhs.uk/services/gp-surgery/blunsdon-surgery/J83002001,SN26 7BE,1,http://www.weststropsurgery.co.uk
Cogges Surgery,https://www.nhs.uk/services/gp-surgery/cogges-surgery/K84618,OX28 3FS,1,http://www.coggesgpsurgery.org.uk
Burvill House Surgery,https://www.nhs.uk/services/gp-surgery/burvill-house-surgery/E82023,AL10 8HP,1,http://www.burvillhousesurgery.org.uk
Annandale Medical Centre,https://www.nhs.uk/services/gp-surgery/annandale-medical-centre/E82098,EN6 5DA,1,http://www.annandalesurgery.co.uk
Medicus Health Partners - Bush Hill Park,https://www.nhs.uk/services/gp-surgery/medicus-health-partners-bush-hill-park/D9T4W,EN1 1XG,1,https://www.bushhillparkmedicalcentre.nhs.uk
Highview Medical Centre,https://www.nhs.uk/services/gp-surgery/highview-medical-centre/E82078,EN6 5DA,1,http://www.highviewsurgery.co.uk
Medicus Health Partners,https://www.nhs.uk/services/gp-surgery/medicus-health-partners/F85002,N9 7HD,1,https://www.forestroadgrouppractice.co.uk
The Bounces Road Surgery,https://www.nhs.uk/services/gp-surgery/the-bounces-road-surgery/F85044,N9 7HD,1,http://www.bouncesroadpractice.nhs.uk/
Boundary House Surgery,https://www.nhs.uk/services/gp-surgery/boundary-house-surgery/F85676,N9 7HD,1,https://www.boundaryhouse.co.uk
Baslow Health Centre,https://www.nhs.uk/services/gp-surgery/baslow-health-centre/C81013,DE45 1SP,1,https://www.baslowhealthcentre.co.uk
Crich Medical Practice,https://www.nhs.uk/services/gp-surgery/crich-medical-practice/C81094,DE4 5PB,1,https://www.crichmedicalpractice.co.uk
Dr Tiguti V Branch,https://www.nhs.uk/services/gp-surgery/dr-tiguti-v-branch/M83121001,ST11 9NT,0,
Eyam Surgery,https://www.nhs.uk/services/gp-surgery/eyam-surgery/C81039,S32 5QH,1,http://www.eyamsurgery.co.uk
Trinity Medical Centre,https://www.nhs.uk/services/gp-surgery/trinity-medical-centre/M83632,ST11 9HQ,1,https://www.trinitydrs.co.uk
Calow Surgery,https://www.nhs.uk/services/gp-surgery/calow-surgery/C81649001,S44 5TH,1,https://www.calbrimdocs.co.uk
Staffa Health,https://www.nhs.uk/services/gp-surgery/staffa-health/C81029,DE55 5PS,1,https://www.staffahealth.co.uk/
Crich Medical Practice (South Wingfield Surgery),https://www.nhs.uk/services/gp-surgery/crich-medical-practice-south-wingfield-surgery/C81094002,DE55 7LW,1,https://www.crichmedicalpractice.co.uk
NEWBOLD SURGERY,https://www.nhs.uk/services/gp-surgery/newbold-surgery/C81015,S41 8DU,1,http://www.newboldsurgery.co.uk
Parkside Surgery,https://www.nhs.uk/services/gp-surgery/parkside-surgery/C81053,DE55 7AH,0,
Limes Medical Centre,https://www.nhs.uk/services/gp-surgery/limes-medical-centre/C81099,DE55 7DW,1,https://www.limes-medicalcentre.co.uk
The Elms Medical Practice (Blacon),https://www.nhs.uk/services/gp-surgery/the-elms-medical-practice-blacon/XA0I5U,CH1 5HN,0,
Hart Health Partnership,https://www.nhs.uk/services/gp-surgery/hart-health-partnership/J82110,GU51 4PE,1,https://www.fleetmedicalcentre.co.uk
Whittington Moor Surgery,https://www.nhs.uk/services/gp-surgery/whittington-moor-surgery/C81044,S41 8NA,1,http://www.whittingtonmoorsurgery.co.uk
The Elms Medical Practice (Blacon Clinic),https://www.nhs.uk/services/gp-surgery/the-elms-medical-practice-blacon-clinic/N81079001,CH1 5DZ,1,http://www.elmsmedicalcentre.co.uk
Stretton Medical Centre,https://www.nhs.uk/services/gp-surgery/stretton-medical-centre/N81623,WA4 4NE,1,https://strettonmedicalcentre.co.uk/
The Cambridge Practice,https://www.nhs.uk/services/gp-surgery/the-cambridge-practice/J82066003,GU11 3RB,1,https://cambridgepractice.co.uk/
Wooler Health,https://www.nhs.uk/services/gp-surgery/wooler-health/A84604,NE71 6BL,1,http://www.woolerhealth.nhs.uk
Belford Medical Practice,https://www.nhs.uk/services/gp-surgery/belford-medical-practice/A84008,NE70 7ER,1,http://www.belfordmedicalpractice.nhs.uk
Woodcross Lane Surgery,https://www.nhs.uk/services/gp-surgery/woodcross-lane-surgery/M92612008,WV14 9BX,1,https://www.healthandbeyond.healthcare
East Park Medical Practice,https://www.nhs.uk/services/gp-surgery/east-park-medical-practice/M92630,WV1 2LW,1,http://www.eastparkmedical.nhs.uk
Ettingshall Medical Centre,https://www.nhs.uk/services/gp-surgery/ettingshall-medical-centre/Y02757001,WV14 0NF,1,https://www.healthandbeyond.healthcare
Dr P D Miles And Dr R Valasapalli,https://www.nhs.uk/services/gp-surgery/dr-p-d-miles-and-dr-r-valasapalli/M83100,ST3 6AB,1,http://www.drmilesandpartner.co.uk/
Riversdale Surgery,https://www.nhs.uk/services/gp-surgery/riversdale-surgery/C81069,DE56 1AY,1,https://www.riversdalesurgery.nhs.uk
Wickhambrook Surgery,https://www.nhs.uk/services/gp-surgery/wickhambrook-surgery/D83003,CB8 8XU,0,
Potterells Medical Centre,https://www.nhs.uk/services/gp-surgery/potterells-medical-centre/E82058,AL9 7SN,0,
Bincote Surgery,https://www.nhs.uk/services/gp-surgery/bincote-surgery/F85625,EN2 7RD,1,http://www.bincotesurgery.co.uk
Parkfield Medical Centre,https://www.nhs.uk/services/gp-surgery/parkfield-medical-centre/E82027,EN6 1QH,1,http://www.parkfieldmedicalcentre.co.uk/
Meir Medical Practice,https://www.nhs.uk/services/gp-surgery/meir-medical-practice/M83713,ST3 6AB,1,http://www.drborseandpartner.nhs.uk
Weston Coyney Medical Practice,https://www.nhs.uk/services/gp-surgery/weston-coyney-medical-practice/M83047001,ST3 6AB,0,
Northdown Road Surgery,https://www.nhs.uk/services/gp-surgery/northdown-road-surgery/E82002001,AL10 8JZ,1,http://wraftonhousesurgery.co.uk/
SOMERCOTES MEDICAL CENTRE,https://www.nhs.uk/services/gp-surgery/somercotes-medical-centre/C81027,DE55 4JJ,1,http://www.somercotesmedicalcentre.co.uk
Jessop Medical Practice,https://www.nhs.uk/services/gp-surgery/jessop-medical-practice/C81005,DE55 1LU,1,http://www.jessopmedicalpractice.co.uk/
The Village Surgery,https://www.nhs.uk/services/gp-surgery/the-village-surgery/C81050,DE55 2FY,1,http://www.thevillagedoctors.co.uk
Stamfordham Surgery,https://www.nhs.uk/services/gp-surgery/stamfordham-surgery/A84042001,NE18 0PF,1,https://www.scotsgapmedicalgroup.com
Whitewater Health,https://www.nhs.uk/services/gp-surgery/whitewater-health/J82138,RG27 8QJ,1,http://www.whitewaterhealth.nhs.uk/
Princes Gardens Surgery,https://www.nhs.uk/services/gp-surgery/princes-gardens-surgery/J82178,GU11 1BJ,1,http://www.princesgardenssurgery.co.uk
The Cambridge Practice,https://www.nhs.uk/services/gp-surgery/the-cambridge-practice/J82066,GU11 1AY,1,https://cambridgepractice.co.uk/
The Wellington Practice,https://www.nhs.uk/services/gp-surgery/the-wellington-practice/J82198,GU11 1AY,1,https://www.wellingtonpractice.co.uk/
Closed,,NE18 0PF,,
The Border Practice,https://www.nhs.uk/services/gp-surgery/the-border-practice/J82142,GU12 4DN,1,http://www.borderpractice.co.uk
Voyager Family Health,https://www.nhs.uk/services/gp-surgery/voyager-family-health/J82067,GU14 0NP,1,https://voyagerfamilyhealth.co.uk/
Whitby Health Partnership,https://www.nhs.uk/services/gp-surgery/whitby-health-partnership/N81093,CH65 6TG,1,https://whitbyhealthpartnership.co.uk/
Mayfield Medical Practice,https://www.nhs.uk/services/gp-surgery/mayfield-medical-practice/M92040,WV1 2GZ,1,https://mayfieldmedicalpractice.com/
Stretton Branch Surgery,https://www.nhs.uk/services/gp-surgery/stretton-branch-surgery/N81623002,WA4 5EQ,1,https://strettonmedicalcentre.co.uk/
Coachmans Medical Practice,https://www.nhs.uk/services/gp-surgery/coachmans-medical-practice/H82098,RH11 9JA,1,http://www.coachmansmedicalpractice.co.uk
Ouse Valley Practice,https://www.nhs.uk/services/gp-surgery/ouse-valley-practice/H82615,RH17 6HB,1,http://www.ousevalleypractice.nhs.uk
Southgate Medical Group,https://www.nhs.uk/services/gp-surgery/southgate-medical-group/H82064,RH10 6TE,0,
Woodlands&Clerklands Partnership,https://www.nhs.uk/services/gp-surgery/woodlands-and-clerklands-partnership/H82025,RH10 5BW,1,http://www.woodlands-clerklandspartnership.co.uk/
Shipdham Surgery,https://www.nhs.uk/services/gp-surgery/shipdham-surgery/D82100,IP25 7LA,1,http://www.shipdhamsurgery.nhs.uk/
Feltwell Surgery,https://www.nhs.uk/services/gp-surgery/feltwell-surgery/D82079,IP26 4AY,1,https://www.feltwellsurgery.co.uk
Highlands Practice,https://www.nhs.uk/services/gp-surgery/highlands-practice/F85035,N21 1UJ,1,http://www.highlandspractice.com
Chingford Medical Practice,https://www.nhs.uk/services/gp-surgery/chingford-medical-practice/Y01291,E4 8LF,1,http://www.chingfordmedicalpractice.nhs.uk
St George's Hall (Feltwell Surgery),https://www.nhs.uk/services/gp-surgery/st-george-s-hall-feltwell-surgery/D82079001,IP26 4NT,0,
Latymer Road Surgery,https://www.nhs.uk/services/gp-surgery/latymer-road-surgery/F85663,N9 9PU,-1,http://latymerroadsurgery.co.uk
Unity Health Brill,https://www.nhs.uk/services/gp-surgery/unity-health-brill/K82047003,HP18 9SA,1,https://www.unity-health.co.uk
Islip Surgery,https://www.nhs.uk/services/gp-surgery/islip-surgery/K84003,OX5 2TQ,1,https://www.islipsurgery.org.uk/
The Key Medical Practice,https://www.nhs.uk/services/gp-surgery/the-key-medical-practice/K84082,OX5 1AP,1,https://www.kidlingtonandyarntonsurgery.co.uk
Gosford Hill Medical Centre,https://www.nhs.uk/services/gp-surgery/gosford-hill-medical-centre/K84045,OX5 2NS,0,
Willow Bank Surgery,https://www.nhs.uk/services/gp-surgery/willow-bank-surgery/Y02521,ST3 6AB,1,https://www.willowbanksurgery.nhs.uk/
Rutland Lodge Medical Practice,https://www.nhs.uk/services/gp-surgery/rutland-lodge-medical-practice/B86019002,LS7 1JL,0,
Ripley Medical Centre,https://www.nhs.uk/services/gp-surgery/ripley-medical-centre/C81059,DE5 3HR,1,http://www.ripleymedicalcentre.co.uk
Ivy Grove Surgery,https://www.nhs.uk/services/gp-surgery/ivy-grove-surgery/C81004,DE5 3TH,1,http://ivy.gs
Meir Park & Weston Coyney Medical Pract,https://www.nhs.uk/services/gp-surgery/meir-park-and-weston-coyney-medical-pract/M83047,ST3 7TW,0,
Carlton Gardens Surgery,https://www.nhs.uk/services/gp-surgery/carlton-gardens-surgery/B86019003,LS7 1JL,0,
Shakespeare Medical Practice,https://www.nhs.uk/services/gp-surgery/shakespeare-medical-practice/Y02494,LS9 7TA,1,https://onemedicalgroup.co.uk/surgeries/shakespeare-medical-practice/
Lincoln Green Medical Centre,https://www.nhs.uk/services/gp-surgery/lincoln-green-medical-centre/B86675,LS9 7TA,1,https://leedsdoctors.co.uk/
Leeds Student Medical Practice,https://www.nhs.uk/services/gp-surgery/leeds-student-medical-practice/B86110,LS2 9AE,1,https://www.leedsstudentmedicalpractice.co.uk
Church Farm Primary Care Centre,https://www.nhs.uk/services/gp-surgery/church-farm-primary-care-centre/C81005002,DE5 3TH,1,http://www.jessopmedicalpractice.co.uk/
The Village Surgery,https://www.nhs.uk/services/gp-surgery/the-village-surgery/C81050002,NG16 6NH,1,https://www.thevillagedoctors.co.uk
Binfield Surgery,https://www.nhs.uk/services/gp-surgery/binfield-surgery/K81060,RG42 4EX,1,http://binfieldsurgery.co.uk
Burma Hill Practice,https://www.nhs.uk/services/gp-surgery/burma-hill-practice/K81638,RG40 1PH,0,
Great Hollands Health Centre,https://www.nhs.uk/services/gp-surgery/great-hollands-health-centre/C8R7G,RG12 8WY,0,
Great Hollands Practice,https://www.nhs.uk/services/gp-surgery/great-hollands-practice/K81094,RG12 8WY,1,http://www.greathollandspractice.nhs.uk
Forest Health Group,https://www.nhs.uk/services/gp-surgery/forest-health-group/K81610001,RG12 1LH,1,http://www.foresthealthgroup.co.uk
Evergreen Practice,https://www.nhs.uk/services/gp-surgery/evergreen-practice/K81657,RG12 1LH,1,https://www.evergreenpracticegp.nhs.uk
Wokingham Medical Centre,https://www.nhs.uk/services/gp-surgery/wokingham-medical-centre/K81022,RG40 1XS,1,http://www.wokinghammedicalcentre.co.uk/
North Camp Surgery,https://www.nhs.uk/services/gp-surgery/north-camp-surgery/J82630,GU14 6DH,0,
Jenner House Surgery,https://www.nhs.uk/services/gp-surgery/jenner-house-surgery/J82125,GU14 0HQ,1,http://www.jennerhousesurgery.co.uk
Bartlett Group Practice - Ash Vale,https://www.nhs.uk/services/gp-surgery/bartlett-group-practice-ash-vale/H81013001,GU12 5BA,1,http://www.bartlettgrouppractice.co.uk
White Medical Group,https://www.nhs.uk/services/gp-surgery/white-medical-group/A84011,NE20 9SD,-1,http://www.whitemedicalgroup.gpsurgery.net
Forest Health Group,https://www.nhs.uk/services/gp-surgery/forest-health-group/K81610,RG12 9PG,1,https://www.foresthealthgroup.co.uk/
Easthampstead Surgery,https://www.nhs.uk/services/gp-surgery/easthampstead-surgery/K81087,RG12 7BB,1,https://www.easthampsteadsurgery.co.uk
Bracknell Urgent Care Centre ,https://www.nhs.uk/services/gp-surgery/bracknell-urgent-care-centre/Y04538,RG12 9BG,1,http://www.onemedicalgroup.co.uk/bracknell-urgent-care-centre
Giffard Drive Surgery,https://www.nhs.uk/services/gp-surgery/giffard-drive-surgery/J82015,GU14 8QB,1,http://www.giffarddrivesurgery.co.uk
Alexander House Surgery,https://www.nhs.uk/services/gp-surgery/alexander-house-surgery/J82120,GU14 7AW,1,https://www.alexanderhousesurgery.com
Mayfield Medical Centre,https://www.nhs.uk/services/gp-surgery/mayfield-medical-centre/J82181,GU14 8UE,1,"http://www.mayfieldmedicalcentre.nhs.uk/welcome,25086.htm"
Oakley Health Group - Monteagle Surgery,https://www.nhs.uk/services/gp-surgery/oakley-health-group-monteagle-surgery/J82049002,GU46 6FE,1,http://www.oakleyhealth.org
Ponteland Medical Group,https://www.nhs.uk/services/gp-surgery/ponteland-medical-group/A84007,NE20 9SD,1,http://www.pontelandmedicalgroup.co.uk
Darras Hall Surgery,https://www.nhs.uk/services/gp-surgery/darras-hall-surgery/A84007002,NE20 9PW,1,http://www.pontelandmedicalgroup.co.uk
City Walls and Saughall Medical Centre,https://www.nhs.uk/services/gp-surgery/city-walls-and-saughall-medical-centre/N81082001,CH1 6EN,1,http://www.citywallsmedicalcentre.co.uk/
Hope Farm Medical Centre,https://www.nhs.uk/services/gp-surgery/hope-farm-medical-centre/N81092,CH66 2WW,1,http://www.hopefarmmedicalcentre.nhs.uk/
Saxonbrook Medical Northgate Surgery,https://www.nhs.uk/services/gp-surgery/saxonbrook-medical-northgate-surgery/H82026001,RH10 1HS,0,
Furnace Green Surgery,https://www.nhs.uk/services/gp-surgery/furnace-green-surgery/H82053,RH10 6JN,1,http://www.furnace-green-surgery.co.uk/
Leacroft Medical Practice,https://www.nhs.uk/services/gp-surgery/leacroft-medical-practice/H82012,RH11 7TF,1,http://www.leacroft.co.uk
Saxonbrook Medical Centre,https://www.nhs.uk/services/gp-surgery/saxonbrook-medical-centre/H82026,RH10 7QH,1,https://www.saxonbrook.net
Bridge Medical Centre,https://www.nhs.uk/services/gp-surgery/bridge-medical-centre/H82047,RH10 1LL,1,http://www.bridgemedicalcentre.co.uk
Pound Hill Medical Group,https://www.nhs.uk/services/gp-surgery/pound-hill-medical-group/H82052,RH10 7DX,0,
Tri-Links Medical Practice,https://www.nhs.uk/services/gp-surgery/tri-links-medical-practice/M83693,B77 3BZ,1,http://www.tri-linkssurgery.nhs.uk/
Heathview Medical Practice,https://www.nhs.uk/services/gp-surgery/heathview-medical-practice/M83110,B77 2ED,1,https://heathviewmedicalpractice.co.uk
Stonydelph Medical Practice,https://www.nhs.uk/services/gp-surgery/stonydelph-medical-practice/Z3X9C,B77 4JA,0,
Uni Of Herts Medical Centre,https://www.nhs.uk/services/gp-surgery/uni-of-herts-medical-centre/E82058001,AL10 9AB,0,
Evergreen Primary Care Centre,https://www.nhs.uk/services/gp-surgery/evergreen-primary-care-centre/Y03402,N9 0TW,1,"http://www.evergreensurgery.nhs.uk/welcome,52294.htm"
The Microfaculty,https://www.nhs.uk/services/gp-surgery/the-microfaculty/F86638,E4 8LT,1,https://www.microfaculty.co.uk
Church Walk Surgery,https://www.nhs.uk/services/gp-surgery/church-walk-surgery/C83062,LN4 3HA,1,http://www.churchwalkmetheringham.co.uk
Trinity Surgery,https://www.nhs.uk/services/gp-surgery/trinity-surgery/O4I6L,B77 4JA,0,
Dr Khare's Surgery,https://www.nhs.uk/services/gp-surgery/dr-khare-s-surgery/M83113,B77 4JA,0,
Laurel House Surgery,https://www.nhs.uk/services/gp-surgery/laurel-house-surgery/M83062,B79 7JN,1,http://www.laurelhousesurgery.co.uk/
Tri-Links Branch 1,https://www.nhs.uk/services/gp-surgery/tri-links-branch-1/M83693001,B77 2LD,1,http://www.tri-linkssurgery.nhs.uk/
Hollies Practice,https://www.nhs.uk/services/gp-surgery/hollies-practice/M83088,B79 7EA,1,http://www.holliesmedical.co.uk/
Chalfont Surgery,https://www.nhs.uk/services/gp-surgery/chalfont-surgery/F85682,N9 0TW,0,
Rainbow Practice,https://www.nhs.uk/services/gp-surgery/rainbow-practice/F85039,N9 0TW,1,http://www.rainbowpractice.nhs.uk/
Keats Surgery,https://www.nhs.uk/services/gp-surgery/keats-surgery/F85010,N9 9HJ,1,http://www.keatssurgery.nhs.uk/
Unity Health Long Crendon ,https://www.nhs.uk/services/gp-surgery/unity-health-long-crendon/K82047004,HP18 9AF,1,https://www.unity-health.co.uk
Crown Medical Practice,https://www.nhs.uk/services/gp-surgery/crown-medical-practice/M83117,B79 7EA,0,
Yarnton Medical Practice,https://www.nhs.uk/services/gp-surgery/yarnton-medical-practice/K84082001,OX5 1LT,1,https://www.kidlingtonandyarntonsurgery.co.uk
Whitemoor Medical Centre,https://www.nhs.uk/services/gp-surgery/whitemoor-medical-centre/C81038,DE56 0JB,1,http://www.whitemoormedicalcentre-belper.co.uk
Brierley Park Medical Centre,https://www.nhs.uk/services/gp-surgery/brierley-park-medical-centre/C84077,NG17 2NF,1,https://www.brierleyparkmedicalgroup.nhs.uk/
Selston Surgery,https://www.nhs.uk/services/gp-surgery/selston-surgery/C84142,NG16 6BT,1,https://selstonsurgery.org
Woodlands Medical Practice,https://www.nhs.uk/services/gp-surgery/woodlands-medical-practice/C84014,NG17 1JW,1,https://www.woodlandsmedicalpractice.co.uk
Laurel Bank Surgery,https://www.nhs.uk/services/gp-surgery/laurel-bank-surgery/B86086,LS6 3DS,-1,http://www.laurelbank.gpsurgery.net
The New Croft Surgery,https://www.nhs.uk/services/gp-surgery/the-new-croft-surgery/B86044001,LS18 4SE,1,https://www.irelandwoodandnewcroft.co.uk/
Kirkstall Lane Medical Centre,https://www.nhs.uk/services/gp-surgery/kirkstall-lane-medical-centre/B86109,LS6 3DS,1,http://www.kirkstalllanemedicalcentre.co.uk/
Vesper Road,https://www.nhs.uk/services/gp-surgery/vesper-road/B86041,LS5 3QT,1,http://www.vesperroadsurgery.co.uk/index.aspx
East Park Medical Centre,https://www.nhs.uk/services/gp-surgery/east-park-medical-centre/B86043,LS9 9JD,1,http://www.eastparkmedicalcentre.com
York Street Health Practice,https://www.nhs.uk/services/gp-surgery/york-street-health-practice/B86669,LS9 8AA,1,https://wearebevan.co.uk
Aire Valley Surgery,https://www.nhs.uk/services/gp-surgery/aire-valley-surgery/B86051,LS19 7JN,1,https://www.airevalleysurgery.nhs.uk/
Dinnington Surgery,https://www.nhs.uk/services/gp-surgery/dinnington-surgery/A84007001,NE13 7JW,1,http://www.pontelandmedicalgroup.co.uk
Ringmead Medical Practice - Birch Hill ,https://www.nhs.uk/services/gp-surgery/ringmead-medical-practice-birch-hill/K81030001,RG12 7WW,1,http://www.ringmeadmedicalpractice.org.uk
Ringmead Medical Practice,,RG12 7WW,,
Aireborough Family Practice,https://www.nhs.uk/services/gp-surgery/aireborough-family-practice/B86070,LS19 7JN,1,http://www.aireboroughfamilypractice.nhs.uk
One Medicare Llp-The Light,https://www.nhs.uk/services/gp-surgery/one-medicare-llp-the-light/Y02002,LS1 8TL,1,http://www.onemedicalgroup.co.uk/the-light-surgery-leeds-city-centre
The Waterfield Practice,https://www.nhs.uk/services/gp-surgery/the-waterfield-practice/K81001,RG12 9LH,1,https://www.waterfieldpractice.co.uk
Forest Health Group,https://www.nhs.uk/services/gp-surgery/forest-health-group/K81610002,RG12 7PG,1,http://www.foresthealthgroup.co.uk
Woosehill Practice,https://www.nhs.uk/services/gp-surgery/woosehill-practice/K81092,RG41 3DR,1,http://www.woosehillsurgery.co.uk
The Gainsborough Practice,https://www.nhs.uk/services/gp-surgery/the-gainsborough-practice/G7D2E,RG42 3JP,0,
Great Sutton Medical Centre,https://www.nhs.uk/services/gp-surgery/great-sutton-medical-centre/N81050,CH66 3SP,0,
Newtown Surgery,https://www.nhs.uk/services/gp-surgery/newtown-surgery/N81064,WA8 7GD,1,http://www.newtownsurgerywidnes.nhs.uk/
Oakley Health Group - Yateley Medical Centre,https://www.nhs.uk/services/gp-surgery/oakley-health-group-yateley-medical-centre/J82049001,GU46 7LS,1,http://www.oakleyhealth.org
Citizens Advice Hart,https://www.nhs.uk/services/gp-surgery/citizens-advice-hart/R6K1D,GU46 7UD,0,
The Waterfield Practice,https://www.nhs.uk/services/gp-surgery/the-waterfield-practice/K81001001,RG42 3JP,0,
Crown Wood Medical Centre,https://www.nhs.uk/services/gp-surgery/crown-wood-medical-centre/K81656,RG12 0TH,0,
New Wokingham Road Surgery,https://www.nhs.uk/services/gp-surgery/new-wokingham-road-surgery/K81080,RG45 6JL,1,http://newwokinghamroadsurgery.nhs.uk
Oaks Place Surgery,https://www.nhs.uk/services/gp-surgery/oaks-place-surgery/N81619,WA8 7GD,1,http://www.oaksplacesurgery.nhs.uk
Stockton Heath Med.Centre,https://www.nhs.uk/services/gp-surgery/stockton-heath-med-centre/N81075,WA4 6HJ,0,
Ringmead Medical Practice – Crowthorne,https://www.nhs.uk/services/gp-surgery/ringmead-medical-practice-%E2%80%93-crowthorne/K81030002,RG45 7BN,1,http://www.ringmeadmedicalpractice.org.uk
The Oakley Health Group,https://www.nhs.uk/services/gp-surgery/the-oakley-health-group/J82049,GU17 0DD,1,http://www.oakleyhealth.org
Station Road Surgery,https://www.nhs.uk/services/gp-surgery/station-road-surgery/H81040,GU16 7HG,1,http://www.thestationroadsurgery.com
Branston & Heighington Family Practice,https://www.nhs.uk/services/gp-surgery/branston-and-heighington-family-practice/C83029,LN4 1LH,1,http://www.branstonsurgery.co.uk
Winchmore Hill Practice,https://www.nhs.uk/services/gp-surgery/winchmore-hill-practice/F85033,N21 2SA,1,http://www.winchmorehillpractice.nhs.uk
Bartlett Group Practice,https://www.nhs.uk/services/gp-surgery/bartlett-group-practice/H81013,GU16 6QQ,1,http://www.bartlettgrouppractice.co.uk/
Cliff Villages Medical Practic,https://www.nhs.uk/services/gp-surgery/cliff-villages-medical-practic/C83002002,LN5 9NX,0,
Willowbrook Medical Practice ,https://www.nhs.uk/services/gp-surgery/willowbrook-medical-practice/C84012,NG17 1ES,1,http://willowbrookmp.co.uk/
Brierley Park Medical Centre - Skegby Site,https://www.nhs.uk/services/gp-surgery/brierley-park-medical-centre-skegby-site/K7Q6J,NG17 3EE,0,
The Aldergate Med.Pract.,https://www.nhs.uk/services/gp-surgery/the-aldergate-med-pract/M83032,B79 8BH,1,https://www.aldergatemedicalpractice.co.uk
The Peel Medical Practice,https://www.nhs.uk/services/gp-surgery/the-peel-medical-practice/M83148,B79 7DJ,1,http://www.peelmedicalpractice.com/
Riverside Surgery,https://www.nhs.uk/services/gp-surgery/riverside-surgery/M83111,B79 7BH,0,
King's Medical Centre,https://www.nhs.uk/services/gp-surgery/king-s-medical-centre/C84061,NG17 1AT,1,http://www.kingsmcsuttoninashfield.co.uk/
Arthur Medical Centre,https://www.nhs.uk/services/gp-surgery/arthur-medical-centre/C81017,DE7 6AX,1,https://www.arthurmedicalcentre.co.uk
Wilnecote Surgery,https://www.nhs.uk/services/gp-surgery/wilnecote-surgery/C1C7L,B77 5BD,0,
